"hauteur" "circonf"
"1" 22.16 46.5
"2" 23.94 52
"3" 22.26 49.7
"4" 26.82 67
"5" 15.69 31.9
"6" 18.47 38
"7" 18.69 40.7
"8" 16.78 36.7
"9" 20.36 41
"10" 20.34 52
"11" 22.68 51.4
"12" 21.27 49.1
"13" 23.14 50.7
"14" 19.34 44
"15" 19.9 44.5
"16" 17.95 39.4
"17" 21.08 46
"18" 22.94 53
"19" 22.75 50.9
"20" 19.83 33.8
"21" 22.11 57.5
"22" 22.54 52.7
"23" 23.6 58.5
"24" 14.61 25.1
"25" 16.8 40
"26" 23.71 68.3
"27" 21.01 38.2
"28" 23.27 54.9
"29" 19.32 38.2
"30" 20.06 50.2
"31" 20.12 43
"32" 22.29 58.2
"33" 17.17 34.6
"34" 21.07 46.4
"35" 19.84 41.1
"36" 21.02 38.8
"37" 23.03 49.2
"38" 21.43 47
"39" 18.61 35
"40" 21.99 54.5
"41" 20.19 51
"42" 17.82 32.5
"43" 24.02 57.2
"44" 21.76 51.8
"45" 17.94 33.8
"46" 22.12 44.6
"47" 22.3 60.2
"48" 13.06 25
"49" 13.9 27.7
"50" 23.82 58.4
"51" 18.33 41.4
"52" 17.77 41.5
"53" 22.99 54.2
"54" 19.86 46.1
"55" 21.12 54
"56" 20.2 47.2
"57" 19.76 48
"58" 21.64 50
"59" 15.63 34.1
"60" 22.2 49.5
"61" 18.88 44.2
"62" 19.93 40.5
"63" 22.1 46.5
"64" 20.95 56.5
"65" 19.51 41.9
"66" 20.33 52.9
"67" 22.22 46.6
"68" 20.44 43.2
"69" 21.26 56.4
"70" 20.28 46.1
"71" 20.72 39.8
"72" 22.58 56.5
"73" 19.95 42.2
"74" 24.73 52.2
"75" 21.34 47
"76" 21.92 41.6
"77" 20.15 40.7
"78" 22.33 56.2
"79" 21.46 46.1
"80" 21.08 55.6
"81" 21.63 54.3
"82" 21.82 49.8
"83" 22.44 52.5
"84" 22.4 45.8
"85" 19.84 39.2
"86" 22.01 58.7
"87" 19.87 45.1
"88" 18.86 36.4
"89" 20.02 41.5
"90" 20.77 41
"91" 21.66 50.2
"92" 18.65 43.3
"93" 21.67 61.3
"94" 22.72 49.2
"95" 18.97 43.7
"96" 24.41 62.1
"97" 17.3 42.7
"98" 19.43 45.6
"99" 22.08 54.4
"100" 21.91 51.2
