annee	ecart
1900	0.3
1901	-0.7
1902	-0.6
1903	-0.3
1904	0.1
1905	-0.6
1906	0.0
1907	-0.4
1908	-0.4
1909	-1.0
1910	-0.4
1911	0.5
1912	-0.4
1913	0.1
1914	-0.3
1915	-0.4
1916	-0.2
1917	-1.2
1918	-0.2
1919	-0.7
1920	0.0
1921	0.6
1922	-0.7
1923	-0.1
1924	-0.4
1925	-0.6
1926	0.3
1927	-0.1
1928	0.5
1929	-0.2
1930	0.4
1931	-0.6
1932	-0.3
1933	-0.2
1934	0.4
1935	-0.1
1936	0.0
1937	0.5
1938	-0.1
1939	-0.3
1940	-0.9
1941	-0.9
1942	-0.4
1943	0.7
1944	-0.4
1945	0.6
1946	-0.3
1947	0.8
1948	0.3
1949	0.8
1950	0.2
1951	-0.1
1952	0.1
1953	0.1
1954	-0.5
1955	0.0
1956	-1.2
1957	0.0
1958	0.0
1959	0.8
1960	0.0
1961	0.8
1962	-0.8
1963	-1.1
1964	-0.1
1965	-0.5
1966	0.2
1967	0.1
1968	-0.2
1969	-0.2
1970	-0.1
1971	-0.2
1972	-0.5
1973	-0.2
1974	0.1
1975	0.0
1976	0.3
1977	0.1
1978	-0.4
1979	-0.2
1980	-0.6
1981	0.1
1982	0.8
1983	0.6
1984	-0.2
1985	-0.5
1986	-0.2
1987	-0.1
1988	0.7
1989	1.2
1990	1.2
1991	0.2
1992	0.5
1993	0.2
1994	1.5
1995	1.0
1996	0.1
1997	1.3
1998	0.7
1999	1.2
2000	1.3
2001	1.0
2002	1.3
2003	1.7
2004	0.8
2005	0.8
2006	1.4
2007	1.1
2008	0.7
2009	1.2
2010	0.1
2011	1.8
2012	1.0
2013	0.6
2014	1.9
2015	1.7
